,0,1,2,3,4,5,6,7,8,9
NumAromaticCarbocycles,0.013054778334702113,0.01040663557112535,0.005312749452374827,0.007834944974847822,0.009674822622313726,0.006575072948248998,0.005541931235407291,0.003254759862450994,0.008827181913652643,0.007362820559638677
NumAromaticHeterocycles,0.0041713588214018354,0.0019693426542887423,0.0033181260171616755,0.00797970523097157,0.010938958887597007,0.016109903957228937,0.0037449922866747004,0.0028241691664706537,0.004523976748992094,0.007118315904358076
NumAromaticRings,0.008424842835351607,0.007719206248897679,0.006555487092383317,0.011136614324023684,0.011458184080572526,0.3140683243290592,0.009184924785834884,0.009148969044041647,0.004400052867407129,0.014520081009164076
NumHAcceptors,0.08261112894946138,0.012840902520780456,0.03163512807345229,0.010147536748481132,0.3120558453274615,0.04209499747845645,0.09998627371023398,0.02458462280052944,0.03895877857058418,0.016460884349754578
NumHDonors,4.4382702330833475e-06,0.00019172113608478236,7.593234811061098e-07,6.894104102666692e-06,6.564041757333765e-06,4.764421692841914e-05,0.0002561073226523044,0.0,0.0004941410220917846,2.8419717431245453e-06
NumHeteroatoms,0.03170853055889148,0.011879436617250716,0.008872791907527239,0.007597374201574127,0.02655475749296782,0.008182100592601832,0.008549443392868155,0.01769582312541954,0.024412473029141388,0.006748202751630422
NumRotatableBonds,0.08100654661147158,0.04963585438521197,0.02188230305286307,2.773572561883289,0.0272906375876373,0.24616615116601087,0.028176728390863083,0.06733164385139312,0.03709273432342432,0.08088580910180877
NumSaturatedCarbocycles,0.002992834987131953,0.00011854765000261021,6.190671223954692e-05,0.0034479427606333483,0.010235975658536121,0.005268236613259809,0.0016710678777161509,0.003662143398653169,0.00680655724181973,0.002870705020392242
NumSaturatedHeterocycles,0.021527113058535087,0.02054595078922762,0.00781741932334831,0.011770652035762141,0.08848208223751518,0.01741947157786252,0.011292485337807339,0.007853159778196244,0.010319610325737815,0.016265557721054
NumSaturatedRings,0.014550289975206158,0.007104033773660843,0.013223536523870011,0.04149121125609758,0.033365915394204464,0.010369127424686764,0.017554850550870766,0.08503706980066578,0.009372607887121786,0.06822247634212791
RingCount,0.02008081096533324,0.046593092208964806,0.031935512707135995,0.01137187529037366,0.014212328785552704,0.06790091390915201,0.018594814342160867,0.0346930431303909,0.03377603301476555,0.07054238864165385
MolLogP,0.09252076176407154,0.25747071479758665,0.08682684650538745,0.5096825766631932,0.1403588718176431,0.37132582819655646,0.9197408141935761,0.05955720772190162,0.2961728119624901,0.09362026215453036
MolMR,0.019709021536716692,0.025406911512119466,0.06662720417030903,0.09377488938216644,0.021447992732904132,0.031612947015463515,0.06284980420541143,0.047442528561162454,0.05942201277048397,0.02103676438326707
fr_Al_OH,0.0,0.00024200101461202265,0.0,0.0,4.5156016855653306e-05,0.0,0.0006255043643864382,9.529796750679578e-05,0.00019580069339936108,0.0
fr_Al_OH_noTert,0.00020958306304321908,0.0003676195549006441,0.0005381408136056371,0.00035290801830847906,2.2331328328805914e-19,0.0,0.0,0.0,0.00033421250930750206,9.503196314891884e-19
fr_Ar_N,0.03133063989616601,0.004492014517862228,0.017104073506037265,0.008947523241352402,0.014630906041911449,0.015730765150860956,0.013196245203746446,0.06806446968036887,0.007320123029135927,0.00364527848389167
fr_NH0,0.0904777852868121,0.010724066140604114,0.01419345841211695,0.01929679100365197,0.03407607878181875,0.022716828791318887,0.04003447840555794,0.006205767912309073,0.017998672082162655,0.00814840651181984
fr_NH1,6.139006325426841e-06,2.1732874924252552e-05,0.0008435518072171273,0.00012465825395973428,0.0,0.0002114105570387871,6.674989361806514e-06,9.328138656926226e-07,7.406487023791511e-07,6.3142393938851965e-06
fr_NH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_N_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_Ndealkylation1,0.003602555215524057,0.008304256598660773,0.002568363098486869,0.000576809616353697,0.0033762723755455426,0.006093649672560296,0.004625815279752176,0.0058567315901301275,0.00423797620083817,0.0016858983047348907
fr_Ndealkylation2,0.10972810713293026,0.055665147371031266,0.030026846281860767,0.02417593911312772,0.21631192150025622,0.12573620494341625,0.024940531685195513,0.04587847980407532,0.04646295570112105,0.06478899371281363
fr_alkyl_halide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_aniline,0.007297137185070282,0.06867090001734222,0.015703933723877992,0.02356317871964693,0.0,0.0158960052506786,0.00961760555223961,0.021399101330939394,0.01121418889079825,0.03228167793102919
fr_aryl_methyl,0.007592817498720495,0.03904304526139186,0.01845853854091002,0.015504336854719546,0.012910401182124647,0.011379332045551862,0.0205775555020767,0.018251389343588442,0.01594399557799891,0.053570915103989224
fr_benzene,0.010078430666059155,0.012919636582159454,0.009670238599942916,0.004952974002251088,0.010817048352961996,0.006904652574677205,0.009245444581143309,0.0091404331537779,0.005638779842500986,0.010987371953938617
fr_bicyclic,0.055808647453505014,0.24993386630036515,0.13006311821105654,0.12193516186888992,0.09384821806741436,0.03423955043836832,0.08687483363693219,0.07572227515682163,0.11094011274950666,0.41385406568793465
fr_ether,0.00931341679523054,0.0028837096694887474,0.0010438506127486721,0.0027588415594613745,0.002272268234025571,0.0015415963503346444,0.001291376699104633,0.0012000820278899235,0.0027756149578312744,0.0014960381228063095
fr_guanido,0.17253897896356765,0.01151286904847328,0.02495979670090828,0.00824141839195846,0.013689424861988018,0.030630459903060576,0.004299689133379779,0.0015902971742876193,0.0074558349080522425,0.004977119785965167
fr_halogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr_imidazole,0.027144974100564573,0.005907114835915164,0.014068511612410873,0.005310078184985571,0.02747921121947578,0.012348866571285552,0.010912775817694183,0.037699928867457724,0.006644942111008406,0.007267337952821408
fr_methoxy,0.006187620714626098,0.002249002104632514,0.00209001810756046,0.002872026903392833,0.0009783573209122163,0.010925422256927062,0.0026091006980725473,0.013716322514306796,0.005376915119811611,0.0026939315322837784
fr_morpholine,0.0,2.12794904002752e-19,0.0,0.0,0.0,5.2591896426535664e-20,0.00034824326697760537,0.0,2.4517753673251747e-19,3.112974419484895e-19
fr_nitro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
